technique_id,technique_name,tactic_name,kill_chain_stage,execution_mode,target_agent,scenario_week,is_top_10,severity,cvss_score,owasp_llm,practitioner_narrative,rogue_actor_story,risk_statement,threat_hunt_steps,threat_hunt_spl
AML.T0026,Rogue Agent Persistence,Persistence,Persistence,LIVE,acme-agent-intake-001,10,true,Critical,9.0,,Teach practitioners how Rogue Agent Persistence manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the Persistence phase using Rogue Agent Persistence. In a multi-agent banking environment, this targets agent_runtime, monitoring_system, orchestrator to achieve: Persistent autonomous attacker operating inside trusted agent infrastructure",CVSS 9.0 (Critical): Persistent autonomous attacker operating inside trusted agent infrastructure,"Establish scope: `acme_genai_index` technique_id=AML.T0026 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'agent_behavior_diverges_from_approved_policy' in raw events. || Control efficacy: filter defenseclaw_action=QUARANTINE and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0026"" event_type=""ROGUE_AGENT_DETECTED"""
AML.T0015,Evade ML Model via Adversarial Perturbation,Defence Evasion,DefenceEvasion,LIVE,acme-agent-compliance-004,,false,High,7.2,LLM01,Teach practitioners how Evade ML Model via Adversarial Perturbation manifests in agentic banking workflows. Map to OWASP LLM01 and hunt using the provided SPL.,"The adversary advances the DefenceEvasion phase using Evade ML Model via Adversarial Perturbation. In a multi-agent banking environment, this targets safety_classifier, input_filter, guardrail_layer to achieve: Guardrail bypass enabling injection of content that would otherwise be blocked",CVSS 7.2 (High): Guardrail bypass enabling injection of content that would otherwise be blocked,"Establish scope: `acme_genai_index` technique_id=AML.T0015 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'homoglyph_or_encoding_anomaly_in_input' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0015"""
AML.T0016,Obtain Limited ML Model Feedback,Defence Evasion,DefenceEvasion,LIVE,acme-agent-compliance-004,,false,Medium,5.0,LLM01,Teach practitioners how Obtain Limited ML Model Feedback manifests in agentic banking workflows. Map to OWASP LLM01 and hunt using the provided SPL.,"The adversary advances the DefenceEvasion phase using Obtain Limited ML Model Feedback. In a multi-agent banking environment, this targets safety_classifier, api_response to achieve: Enables precise evasion payload crafting against an opaque safety classifier",CVSS 5.0 (Medium): Enables precise evasion payload crafting against an opaque safety classifier,"Establish scope: `acme_genai_index` technique_id=AML.T0016 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'systematic_edge_case_probing_pattern' in raw events. || Control efficacy: filter defenseclaw_action=RATE_LIMIT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0016"""
AML.T0052,AI Audit Log Manipulation,Defence Evasion,DefenceEvasion,LIVE,acme-agent-compliance-004,9,true,High,8.4,,Teach practitioners how AI Audit Log Manipulation manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the DefenceEvasion phase using AI Audit Log Manipulation. In a multi-agent banking environment, this targets audit_log, otel_pipeline, siem_index to achieve: Invisible attack chain; forensic investigation impossible after incident",CVSS 8.4 (High): Invisible attack chain; forensic investigation impossible after incident,"Establish scope: `acme_genai_index` technique_id=AML.T0052 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'otel_log_gap_detected_in_continuous_stream' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0052"" | timechart count span=1m | where count=0"
AML.T0037,AI Data Discovery via Retrieval Probing,Discovery,Discovery,LIVE,acme-agent-docingest-002,,false,High,7.4,LLM02,Teach practitioners how AI Data Discovery via Retrieval Probing manifests in agentic banking workflows. Map to OWASP LLM02 and hunt using the provided SPL.,"The adversary advances the Discovery phase using AI Data Discovery via Retrieval Probing. In a multi-agent banking environment, this targets vector_db, rag_retrieval, knowledge_base to achieve: Complete inventory of proprietary knowledge base accessible to the agent",CVSS 7.4 (High): Complete inventory of proprietary knowledge base accessible to the agent,"Establish scope: `acme_genai_index` technique_id=AML.T0037 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'vector_retrieval_rate_anomaly' in raw events. || Control efficacy: filter defenseclaw_action=RATE_LIMIT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0037"" galileo_observe_alert=""true"""
AML.T0038,Vector Database Exfiltration,Discovery,Discovery,LIVE,acme-agent-docingest-002,8,true,Critical,8.8,LLM02,Teach practitioners how Vector Database Exfiltration manifests in agentic banking workflows. Map to OWASP LLM02 and hunt using the provided SPL.,"The adversary advances the Discovery phase using Vector Database Exfiltration. In a multi-agent banking environment, this targets vector_db, embedding_model, knowledge_base to achieve: Full proprietary knowledge base exfiltrated; IP and confidential data at risk",CVSS 8.8 (Critical): Full proprietary knowledge base exfiltrated; IP and confidential data at risk,"Establish scope: `acme_genai_index` technique_id=AML.T0038 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'vector_retrieval_volume_anomaly_70x_baseline' in raw events. || Control efficacy: filter defenseclaw_action=QUARANTINE and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0038"" galileo_anomaly_score > 0.9"
AML.T0043,AI Tool Schema Discovery,Discovery,Discovery,LIVE,acme-agent-intake-001,2,true,Medium,5.8,,Teach practitioners how AI Tool Schema Discovery manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the Discovery phase using AI Tool Schema Discovery. In a multi-agent banking environment, this targets mcp_tool_schema, function_call_spec, agent_capabilities to achieve: Complete tool capability map enabling targeted tool abuse and privilege escalation",CVSS 5.8 (Medium): Complete tool capability map enabling targeted tool abuse and privilege escalation,"Establish scope: `acme_genai_index` technique_id=AML.T0043 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'tool_schema_enumeration_detected' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0043"""
AML.T0035,Data from Local AI System,Collection,Collection,LIVE,acme-agent-docingest-002,,false,High,7.8,LLM02,Teach practitioners how Data from Local AI System manifests in agentic banking workflows. Map to OWASP LLM02 and hunt using the provided SPL.,"The adversary advances the Collection phase using Data from Local AI System. In a multi-agent banking environment, this targets local_cache, conversation_log, embedding_store to achieve: PII, trade secrets, and user conversation data exfiltrated from local storage","CVSS 7.8 (High): PII, trade secrets, and user conversation data exfiltrated from local storage","Establish scope: `acme_genai_index` technique_id=AML.T0035 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'local_ai_data_read_by_unexpected_process' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0035"""
AML.T0036,Data from AI-integrated Systems,Collection,Collection,LIVE,acme-agent-docingest-002,,false,High,8.2,LLM02,Teach practitioners how Data from AI-integrated Systems manifests in agentic banking workflows. Map to OWASP LLM02 and hunt using the provided SPL.,"The adversary advances the Collection phase using Data from AI-integrated Systems. In a multi-agent banking environment, this targets crm_integration, email_tool, erp_connector, database_tool to achieve: Bulk data theft from integrated enterprise systems using agent's legitimate credentials",CVSS 8.2 (High): Bulk data theft from integrated enterprise systems using agent's legitimate credentials,"Establish scope: `acme_genai_index` technique_id=AML.T0036 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'bulk_data_collection_via_agent_tool' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0036"" | stats sum(records_accessed) by agent.id | where sum > 1000"
AML.T0030,Exfiltrate AI Model via Covert Channel,Exfiltration,Exfiltration,LIVE,acme-agent-docingest-002,,false,High,8.5,LLM02,Teach practitioners how Exfiltrate AI Model via Covert Channel manifests in agentic banking workflows. Map to OWASP LLM02 and hunt using the provided SPL.,"The adversary advances the Exfiltration phase using Exfiltrate AI Model via Covert Channel. In a multi-agent banking environment, this targets model_weights, api_response, network_channel to achieve: Full model theft; attacker can run unlimited local inference without API costs",CVSS 8.5 (High): Full model theft; attacker can run unlimited local inference without API costs,"Establish scope: `acme_genai_index` technique_id=AML.T0030 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'unusual_outbound_data_from_model_server' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0030"""
AML.T0031,Exfiltrate Data via AI Model Output,Exfiltration,Exfiltration,LIVE,acme-agent-docingest-002,,false,Critical,8.8,LLM02,Teach practitioners how Exfiltrate Data via AI Model Output manifests in agentic banking workflows. Map to OWASP LLM02 and hunt using the provided SPL.,"The adversary advances the Exfiltration phase using Exfiltrate Data via AI Model Output. In a multi-agent banking environment, this targets model_output, markdown_renderer, browser_tool to achieve: Automatic exfiltration of context data to attacker server triggered by model output rendering",CVSS 8.8 (Critical): Automatic exfiltration of context data to attacker server triggered by model output rendering,"Establish scope: `acme_genai_index` technique_id=AML.T0031 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'outbound_url_in_model_output_to_unknown_domain' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0031"" exfil_url_detected=""true"""
AML.T0029,AI System Availability Disruption,Impact,Impact,HYBRID,acme-agent-creditrisk-003,,false,High,7.5,LLM04,Teach practitioners how AI System Availability Disruption manifests in agentic banking workflows. Map to OWASP LLM04 and hunt using the provided SPL.,"The adversary advances the Impact phase using AI System Availability Disruption. In a multi-agent banking environment, this targets agent_orchestrator, compute_pool, rate_limiter to achieve: AI service unavailability; financial loss from SLA breach; cascading failure in dependent business processes",CVSS 7.5 (High): AI service unavailability; financial loss from SLA breach; cascading failure in dependent business processes,"Establish scope: `acme_genai_index` technique_id=AML.T0029 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'agent_service_latency_spike_and_error_rate_elevation' in raw events. || Control efficacy: filter defenseclaw_action=RATE_LIMIT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0029"" | timechart avg(latency_ms) span=1m | where avg > 5000"
AML.T0034,AI Model Integrity Attack,Impact,Impact,HYBRID,acme-agent-creditrisk-003,,false,Critical,9.5,LLM03,Teach practitioners how AI Model Integrity Attack manifests in agentic banking workflows. Map to OWASP LLM03 and hunt using the provided SPL.,"The adversary advances the Impact phase using AI Model Integrity Attack. In a multi-agent banking environment, this targets model_weights, model_serving_layer, model_registry to achieve: Corrupted model making systematically wrong decisions at scale in production",CVSS 9.5 (Critical): Corrupted model making systematically wrong decisions at scale in production,"Establish scope: `acme_genai_index` technique_id=AML.T0034 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'model_performance_degradation_and_hash_mismatch' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0034"" cisco_aibom_status=""HASH_MISMATCH"""
AML.T0050,AI Agent Privilege Escalation via Tool Abuse,Privilege Escalation,PrivilegeEscalation,LIVE,acme-agent-docingest-002,5,true,Critical,9.0,LLM06,Teach practitioners how AI Agent Privilege Escalation via Tool Abuse manifests in agentic banking workflows. Map to OWASP LLM06 and hunt using the provided SPL.,"The adversary advances the PrivilegeEscalation phase using AI Agent Privilege Escalation via Tool Abuse. In a multi-agent banking environment, this targets tool_executor, mcp_scope, api_gateway to achieve: Unauthorised execution of privileged operations: file writes, database mutations, financial transactions","CVSS 9.0 (Critical): Unauthorised execution of privileged operations: file writes, database mutations, financial transactions","Establish scope: `acme_genai_index` technique_id=AML.T0050 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'tool_invoked_outside_approved_scope' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0050"" scope_violation=""true"""
AML.T0058,Agent Identity Spoofing for Privilege Escalation,Privilege Escalation,PrivilegeEscalation,LIVE,acme-agent-compliance-004,7,true,Critical,9.2,,Teach practitioners how Agent Identity Spoofing for Privilege Escalation manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the PrivilegeEscalation phase using Agent Identity Spoofing for Privilege Escalation. In a multi-agent banking environment, this targets agent_identity, a2a_protocol, trust_chain, did_document to achieve: Unauthorised privilege escalation across the multi-agent trust chain",CVSS 9.2 (Critical): Unauthorised privilege escalation across the multi-agent trust chain,"Establish scope: `acme_genai_index` technique_id=AML.T0058 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'did_signature_mismatch_on_agent_delegation' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0058"" cryptographic_passport_valid=""false"""
AML.T0045,Agent Session Smuggling,Lateral Movement,LateralMovement,LIVE,acme-agent-compliance-004,,false,Critical,8.6,,Teach practitioners how Agent Session Smuggling manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the LateralMovement phase using Agent Session Smuggling. In a multi-agent banking environment, this targets a2a_protocol, agent_trust_chain, session_context to achieve: Full multi-agent topology compromise via trusted A2A channels",CVSS 8.6 (Critical): Full multi-agent topology compromise via trusted A2A channels,"Establish scope: `acme_genai_index` technique_id=AML.T0045 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'a2a_session_integrity_check_failed' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0045"" event_type=""A2A_SESSION_SMUGGLING_DETECTED"""
AML.T0046,Inter-Agent Trust Chain Hijacking,Lateral Movement,LateralMovement,LIVE,acme-agent-compliance-004,,false,Critical,9.0,,Teach practitioners how Inter-Agent Trust Chain Hijacking manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the LateralMovement phase using Inter-Agent Trust Chain Hijacking. In a multi-agent banking environment, this targets agent_orchestrator, delegation_chain, subagent_network to achieve: Cascading compromise of entire multi-agent workflow from a single compromised node",CVSS 9.0 (Critical): Cascading compromise of entire multi-agent workflow from a single compromised node,"Establish scope: `acme_genai_index` technique_id=AML.T0046 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'trust_propagation_anomaly_in_agent_chain' in raw events. || Control efficacy: filter defenseclaw_action=QUARANTINE and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0046"""
AML.T0060,AI Agent C2 via Covert Prompt Channel,Command and Control,CommandAndControl,HYBRID,acme-agent-intake-001,,false,Critical,8.8,,Teach practitioners how AI Agent C2 via Covert Prompt Channel manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the CommandAndControl phase using AI Agent C2 via Covert Prompt Channel. In a multi-agent banking environment, this targets agent_prompt_interface, model_output, tool_executor to achieve: Persistent C2 over a trusted AI channel, bypassing traditional network-based C2 detection","CVSS 8.8 (Critical): Persistent C2 over a trusted AI channel, bypassing traditional network-based C2 detection","Establish scope: `acme_genai_index` technique_id=AML.T0060 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'encoded_instruction_pattern_in_agent_io' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0060"""
AML.T0061,Malicious AI Plugin as C2 Relay,Command and Control,CommandAndControl,HYBRID,acme-agent-intake-001,,false,High,8.5,,Teach practitioners how Malicious AI Plugin as C2 Relay manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the CommandAndControl phase using Malicious AI Plugin as C2 Relay. In a multi-agent banking environment, this targets agent_plugin, mcp_tool, external_api to achieve: Full remote control of agent capabilities via a trusted-looking plugin",CVSS 8.5 (High): Full remote control of agent capabilities via a trusted-looking plugin,"Establish scope: `acme_genai_index` technique_id=AML.T0061 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'tool_calling_unexpected_external_domain' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0061"""
AML.T0062,Credential Extraction via Agent Tool,Credential Access,CredentialAccess,HYBRID,acme-agent-intake-001,,false,Critical,9.1,LLM06,Teach practitioners how Credential Extraction via Agent Tool manifests in agentic banking workflows. Map to OWASP LLM06 and hunt using the provided SPL.,"The adversary advances the CredentialAccess phase using Credential Extraction via Agent Tool. In a multi-agent banking environment, this targets secret_store, env_config, password_manager_tool to achieve: Credential compromise enabling lateral movement beyond AI system to broader enterprise infrastructure",CVSS 9.1 (Critical): Credential compromise enabling lateral movement beyond AI system to broader enterprise infrastructure,"Establish scope: `acme_genai_index` technique_id=AML.T0062 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'credential_store_accessed_by_agent' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0062"" tool_invoked=""read_secret"""
AML.T0063,AI-Assisted Phishing and Social Engineering,Credential Access,CredentialAccess,HYBRID,acme-agent-intake-001,,false,High,8.0,LLM09,Teach practitioners how AI-Assisted Phishing and Social Engineering manifests in agentic banking workflows. Map to OWASP LLM09 and hunt using the provided SPL.,"The adversary advances the CredentialAccess phase using AI-Assisted Phishing and Social Engineering. In a multi-agent banking environment, this targets agent_output, email_tool, human_operator to achieve: Human credential compromise at scale using AI-generated personalised content",CVSS 8.0 (High): Human credential compromise at scale using AI-generated personalised content,"Establish scope: `acme_genai_index` technique_id=AML.T0063 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'agent_generating_credential_harvesting_content' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0063"""
AML.T0064,Container Escape via AI Code Execution,Escape to Host,Execution,LIVE,acme-agent-intake-001,,false,Critical,9.8,LLM06,Teach practitioners how Container Escape via AI Code Execution manifests in agentic banking workflows. Map to OWASP LLM06 and hunt using the provided SPL.,"The adversary advances the Execution phase using Container Escape via AI Code Execution. In a multi-agent banking environment, this targets code_execution_tool, container_runtime, host_os to achieve: Full host compromise; access to all co-resident AI workloads and infrastructure",CVSS 9.8 (Critical): Full host compromise; access to all co-resident AI workloads and infrastructure,"Establish scope: `acme_genai_index` technique_id=AML.T0064 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'agent_code_execution_accesses_host_namespace' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0064"" rce_payload_detected=""true"""
AML.T0065,SSRF via AI Agent Tool,Escape to Host,Execution,LIVE,acme-agent-intake-001,,false,High,8.6,LLM01,Teach practitioners how SSRF via AI Agent Tool manifests in agentic banking workflows. Map to OWASP LLM01 and hunt using the provided SPL.,"The adversary advances the Execution phase using SSRF via AI Agent Tool. In a multi-agent banking environment, this targets web_tool, http_client_tool, cloud_metadata_endpoint to achieve: Cloud credential theft; access to EC2/GCP/Azure metadata including IAM tokens",CVSS 8.6 (High): Cloud credential theft; access to EC2/GCP/Azure metadata including IAM tokens,"Establish scope: `acme_genai_index` technique_id=AML.T0065 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'agent_tool_requesting_cloud_metadata_endpoint' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0065"" target_url LIKE ""%169.254.169.254%"""
